"Campaign ID","Campaign Name","Booked Amount","Actual Amount",Adjustments,"Invoice Amount"
1682,11,,,,
1681,1111,,,,
311,"Adams, Beier and Friesen : Distributed multi-tasking paradigm - 6cad",10303173.452114690000000,9526304.196719030000000,71328.935750755800000,9597633.132469785800000
269,"Adams-Schulist : Realigned heuristic access - c008",951847.527595780000000,954824.091129690000000,23722.053237165000000,978546.144366855000000
355,"Adams, Zemlak and Pagac : Re-contextualized secondary website - 9887",3479345.828043308000000,3398905.225608823000000,22017.716357717010000,3420922.941966540010000
121,"Altenwerth-Steuber : Customer-focused dedicated secured line - e358",5026680.395888186000000,4460827.212739098000000,-16690.122101691100000,4444137.090637406900000
55,"Ankunding-Lowe : Upgradable hybrid leverage - 1510",23414666.041140464300000,21394501.835130785500000,28015.573982642380000,21422517.409113427880000
152,"Aufderhar Group : Switchable user-facing solution - e561",9646667.068340799000000,8826492.540771326000000,111646.554585131110000,8938139.095356457110000
368,"Aufderhar-Langosh : Automated heuristic Graphic Interface - 72d5",21311920.658340393000000,19741843.189759383000000,296501.937775135440000,20038345.127534518440000
88,"Aufderhar-Lindgren : Customizable transitional hierarchy - 7df1",20779129.359616126000000,19460865.469500415000000,153807.250702477700000,19614672.720202892700000
165,"Aufderhar, Ratke and Block : Object-based responsive circuit - 560f",15059985.876421054000000,12691549.390230597000000,79066.915021318900000,12770616.305251915900000
61,"Barrows-Cummerata : Reduced analyzing alliance - f2c3",2760923.676397020000000,2813858.922928790000000,31050.572456507600000,2844909.495385297600000
253,"Bartoletti, Wyman and Weber : Reverse-engineered background function - 146d",12048900.771420415000000,10414495.430865636000000,112567.979997543059000,10527063.410863179059000
197,"Bashirian-Greenfelder : Organic even-keeled budgetary management - 1e6e",7281128.467811707400000,7373903.576275698900000,87703.684601917850000,7461607.260877616750000
151,"Bashirian-Prosacco : Automated transitional framework - ff87",18647617.314741203200000,15081939.699671230400000,269023.086154186486000,15350962.785825416886000
316,"Baumbach Inc : Persistent methodical capability - bc25",11648615.868994159000000,11715933.331785740800000,62413.420089554070000,11778346.751875294870000
305,"Bayer-MacGyver : Customer-focused tangible matrix - 5d7b",1024941.192144400000000,1013019.466567110000000,-8864.096919483800000,1004155.369647626200000
234,"Bechtelar-Cremin : Grass-roots responsive functionalities - b216",18708329.032327974000000,18027284.482065159000000,175194.314104384470000,18202478.796169543470000
176,"Bednar and Sons : Visionary holistic installation - dbfa",1688789.191173510000000,788145.886982150000000,-31059.254283502000000,757086.632698648000000
281,"Bednar, Hyatt and Schoen : Cloned high-level projection - aacf",1313615.321120733300000,1295013.220492280500000,2781.754578866329000,1297794.975071146829000
10,"Beer, Jacobson and Bashirian : Centralized interactive migration - c359",1637410.724126360000000,1677639.152828490000000,47089.175255211910000,1724728.328083701910000
71,"Beier Inc : Public-key modular secured line - 0a0f",14470693.029360339000000,14286887.168212838000000,-60500.710294065010000,14226386.457918772990000
232,"Berge LLC : Enterprise-wide system-worthy circuit - aa1e",9065484.789187253000000,8999012.651657695000000,72711.453519406300000,9071724.105177101300000
304,"Bergnaum LLC : Automated bottom-line utilisation - 66db",6312953.487768615000000,6332559.842276056000000,73375.702286534320000,6405935.544562590320000
180,"Bergnaum LLC : Future-proofed clear-thinking task-force - f03c",8812615.084736860000000,8593102.105925250000000,36714.496108599200000,8629816.602033849200000
345,"Bergnaum, Rutherford and Tillman : Horizontal optimal hierarchy - 577b",22429600.603227581100000,22442100.848368008500000,20562.367494128540000,22462663.215862137040000
170,"Bergstrom-Beer : Customizable zero tolerance solution - 5bd1",19410107.951935922000000,18373304.385033023000000,339851.256760611969000,18713155.641793634969000
102,"Bergstrom-Koss : Business-focused bottom-line website - 7975",5065021.107033053000000,5099718.731025548000000,14358.823941191490000,5114077.554966739490000
376,"Bernier, Koepp and Lockman : Business-focused didactic frame - 5c6f",16449708.368398961700000,16498519.316017328300000,249027.848105506524000,16747547.164122834824000
373,"Blanda Inc : Multi-lateral homogeneous service-desk - 8446",4509746.131672086000000,4651696.108693884300000,63857.788104104800000,4715553.896797989100000
